dataset,content,additional preprocessing steps,reference paper link,data accession link
baron ,"human and mouse pancreatic cells (human sample 1, both mouse samples)","concatenate two mouse files
filering + normalization + log-transformation + select top 2000 most variable genes + PCA on 50 PCs by species",https://www.sciencedirect.com/science/article/pii/S2405471216302666?via%3Dihub ,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84133
camp,mouse arcuate nucleus and median eminence,N/A (dataset previously preprocessed),https://www.pnas.org/doi/full/10.1073/pnas.1520760112,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84133
cifar10,color images across 10 image classes,trained using a convolutional neural network (CNN) accoridng to the following blog post: https://medium.com/@pslinge144/representation-learning-cifar-10-23b0d9833c40 ,N/A,N/A (downloaded through pytorch)
paul,myeloid progenitor cells,N/A (dataset previously preprocessed),https://www.sciencedirect.com/science/article/pii/S0092867415014932,https://zenodo.org/records/3514910
kang,"PBMCs from lupus patients (samples A, B, C)",select top 2000 most variable genes + PCA on top 50 PCs (dataset previously filtered and normalized),https://pmc.ncbi.nlm.nih.gov/articles/PMC5784859/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE96583 
klein,mouse embryonic stem cells (sample 1),filering + normalization + log-transformation + select top 2000 most variable genes + PCA on 12 PCs (specified in paper),https://www.sciencedirect.com/science/article/pii/S0092867415005000?via%3Dihub,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65525 
kanton,primate cerebral organoids,N/A (dataset previously preprocessed),https://www.nature.com/articles/s41586-019-1654-9 ,https://github.com/dkobak/low-dim-embeddings-review/tree/main/data/Kanton-et-al/human-409b2 
petropoulos,human embryo cells along three developmental stages,"load dataset in chunks, selected top 2000 highest variable genes (dataset previously preprocessed)",https://pmc.ncbi.nlm.nih.gov/articles/PMC4868821/,10.5281/zenodo.13640496
romanov,mouse diencephalon cells,filering + normalization + log-transformation + select top 2000 most variable genes + PCA on 50 PCs,https://www.nature.com/articles/nn.4462,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74672
tsai,mouse hypothalamus cells,"select top 2000 most variable genes + PCA on top 50 PCs (dataset previously normalized, filtered, batch-corrected)",https://portals.broadinstitute.org/single_cell/study/a-molecular-census-of-arcuate-hypothalamus-and-median-eminence-cell-types,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93374
wagner,zebrafish embryo cells,filering + normalization + log-transformation + select top 2000 most variable genes + PCA on 50 PCs,https://kleintools.hms.harvard.edu/paper_websites/wagner_zebrafish_timecourse2018/mainpage.html (scanpy version) ,https://www.science.org/doi/10.1126/science.aar4362
wikipedia,text paragraphs from Simple English Wikipedia,cohere.ai embedding model to transform paragraphs into vectors,https://arxiv.org/html/2508.15929v1#S4.F3,https://huggingface.co/datasets/Cohere/wikipedia-22-12-simple-embeddings/blob/main/README.md
zeisel,mouse cortex cells,filering + normalization + log-transformation + select top 2000 most variable genes + PCA on 50 PCs,https://www.science.org/doi/full/10.1126/science.aaa1934,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60361
